MunicipalityCode,avg_price,count_listings
0101,175253.04632152588,367
0102,187757.5706214689,177
0103,168769.92091836734,392
0104,226243.75,80
0105,316395.5130687319,1033
0106,183610.83333333334,120
0107,278671.05263157893,361
0108,198725.81699346405,153
0109,250645.83726415093,848
0110,266178.4946236559,372
0111,170959.1463414634,164
0112,201850.0,66
0113,185079.18781725888,394
0114,205840.8173076923,208
0115,207416.33109619687,447
0116,223972.98,200
0117,151985.57692307694,52
0118,266225.1141552511,219
0119,149563.19018404908,163
0201,135668.085106383,47
0202,306611.1111111111,18
0203,263900.0,20
0204,111333.33333333333,3
0205,161643.7984496124,129
0206,169622.22222222222,18
0207,148692.1739130435,23
0208,266147.0588235294,34
0209,124278.57142857143,14
0210,147524.4,125
0211,238773.5368956743,393
0212,222637.78125,64
0213,258712.7659574468,47
0214,179247.0588235294,51
0301,221930.46153846153,494
0302,224343.10344827586,609
0303,277926.9706632653,2352
0304,207657.03056768558,229
0305,176541.8393939394,330
0306,301482.5714285714,175
0307,212379.6183074266,579
0308,225723.6625441696,1698
0309,186702.408,500
0310,206661.92893401015,197
0311,168557.27272727274,330
0312,229174.57534246575,1022
0313,235568.58830146233,889
0314,243160.5617977528,89
0401,181687.5,16
0402,172651.76589595375,346
0403,78478.26086956522,23
0404,302916.6666666667,12
0405,155941.39784946237,186
0406,109269.23076923077,39
0407,191346.7105263158,76
0408,162953.48837209304,43
0409,152500.0,67
0410,249857.14285714287,21
0411,124666.66666666667,27
0412,107209.6551724138,29
0501,137452.33576642335,137
0502,164192.59259259258,324
0503,174273.40206185568,970
0504,142916.23622047243,381
0505,127995.44915254238,118
0506,164473.15789473685,19
0507,97337.94039735099,151
0508,150301.96078431373,51
0509,146273.1543624161,149
0510,149900.0,42
0511,95710.0,50
0601,160981.25,80
0602,176745.57777777777,360
0603,236080.3026755853,1794
0604,208743.29004329004,231
0605,205802.46141215105,1218
0606,138078.57142857142,42
0607,168759.9641577061,279
0608,202227.6397515528,161
0609,176114.51612903227,124
0610,140315.53784860557,251
0611,158094.79768786128,173
0612,195791.66666666666,24
0613,152777.27272727274,88
0614,146788.57142857142,70
0615,138126.25688073394,218
0616,163107.9365079365,63
0617,154189.45454545456,99
0701,142166.66666666666,69
0702,189446.2162162162,111
0703,185293.75,80
0704,172156.61676646708,167
0705,280426.02040816325,441
0706,221407.75,200
0707,201695.7627118644,59
0708,155339.0243902439,41
0709,178331.94444444444,54
0710,260991.07142857142,56
0711,226667.98245614034,228
0712,202986.4516129032,155
0713,171672.72727272726,99
0714,150515.5172413793,58
0801,304344.5,620
0802,168350.0,66
0803,284142.8125,80
0804,291932.0987654321,162
0805,348874.1180564784,602
0806,354819.2803030303,264
0807,417356.6176470588,340
0808,347594.2895805142,739
0809,239437.5,56
0810,311223.3058823529,374
0811,330460.50436300173,1146
0812,309868.0,75
0813,269061.3777973568,454
0814,340171.74097664544,471
0815,309817.0731707317,123
0816,256124.0157480315,254
0901,229875.0,8
0902,155532.14285714287,28
0903,122580.76923076923,52
0904,168840.0,25
0905,119628.84615384616,52
0906,154640.47619047618,63
0907,135391.42857142858,119
0908,148368.75,32
0909,126642.85714285714,14
0910,166800.0,20
0911,208976.19047619047,42
0912,154292.3076923077,247
0913,144912.5,40
0914,132138.88888888888,36
1001,215464.79524438572,757
1002,134876.67532467534,154
1003,165961.84971098267,173
1004,209682.25806451612,124
1005,233785.27272727274,110
1006,256605.13354531,629
1007,141930.23255813954,43
1008,194115.625,48
1009,239446.8487394958,1071
1010,184870.09345794393,321
1011,280003.43440233235,343
1012,309819.84375,224
1013,161976.19047619047,21
1014,241085.67073170733,328
1015,181594.06392694064,657
1016,187600.8811881188,303
1101,199390.56111929307,679
1102,293686.99557522126,226
1103,198325.81699346405,306
1104,198928.6231884058,138
1105,410479.6219035202,1534
1106,407229.01893395546,5572
1107,304219.3920803123,1793
1108,314855.48484848486,462
1109,350174.2015355086,1042
1110,419733.58572300186,1639
1111,261275.0509886186,4481
1112,231729.3103448276,174
1113,269856.43418467586,1018
1114,270843.03671562084,1498
1115,249977.34820143884,1390
1116,317749.8697674419,1290
1201,98231.88405797101,69
1202,134278.125,32
1203,148496.98795180724,83
1204,148747.91836734695,98
1205,160294.11764705883,17
1206,163031.25,32
1207,176292.67399267398,273
1208,154855.76923076922,52
1209,137147.72727272726,44
1210,154666.66666666666,24
1211,119511.32075471699,53
1212,102964.0,75
1213,174508.66483516485,182
1214,152022.5806451613,186
1215,151176.19047619047,63
1301,217588.81422924902,506
1302,176122.131147541,244
1303,205412.10577864837,1021
1304,231512.07442888725,1357
1305,177532.69506726458,446
1306,295681.04067536455,1303
1307,182354.94037478705,587
1308,311279.2586333578,1361
1309,228791.40086206896,464
1310,179643.77469135803,648
1311,193705.97345132745,452
1312,336916.6122105263,4750
1313,330745.2994011976,334
1314,201557.72373540857,514
1315,230434.25340136053,588
1316,327251.61097256857,401
1317,311382.25339489407,3682
1318,238143.20118343196,338
1401,152647.47222222222,360
1402,155488.65546218486,119
1403,188045.60103626942,193
1404,208641.776119403,67
1405,199389.34604904632,367
1406,187787.74094707522,359
1407,156749.12280701756,57
1408,178076.04166666666,48
1409,169773.07692307694,260
1410,175003.07262569832,358
1411,155739.2670157068,191
1412,256509.33333333334,75
1413,137017.94871794872,78
1414,205600.09216589862,217
1415,230008.88888888888,180
1416,208850.33663366336,505
1417,149173.07692307694,26
1418,188132.36559139786,465
1419,166600.0,419
1420,191490.38461538462,52
1421,209362.96120689655,232
1501,245133.18181818182,220
1502,382180.08298755187,241
1503,298182.1899509804,1632
1504,244121.49545454545,660
1505,341812.734082397,267
1506,206998.3137254902,510
1507,306194.0970873786,1030
1508,273536.64381121995,1123
1509,284154.54545454547,209
1510,321558.58026233607,1601
1511,332495.009009009,777
1512,292279.8708226221,1556
1513,443286.9918699187,123
1601,167086.72566371682,339
1602,196724.18367346938,196
1603,130981.25,48
1604,174424.74226804124,97
1605,166766.39344262294,61
1606,148504.9180327869,244
1607,213213.9303482587,201
1608,207490.4867256637,339
1609,275457.8608247423,776
1610,236650.96153846153,208
1701,176097.6923076923,130
1702,168329.41176470587,17
1703,191809.8765432099,324
1704,202035.7142857143,56
1705,176321.73913043478,46
1706,184147.8260869565,115
1707,191125.0,32
1708,165039.7966101695,295
1709,157300.0,30
1710,188149.12280701756,57
1711,174790.6976744186,43
1712,196917.9245283019,53
1713,220343.2098765432,81
1714,200394.22310756973,251
1804,300000.0,1
1808,62000.0,1
1821,233500.0,19
3103,750000.0,1
3104,82590.0,5
3106,91666.66666666667,6
3108,75000.0,2
3201,212870.73170731709,41
4101,165484.83412322274,211
4201,190000.0,5
4203,314571.4285714286,7
4205,228475.8620689655,29
4206,539983.3333333334,6
4301,191463.15789473685,19
4302,200850.0,20
4502,260000.0,1
4701,160000.0,1
4802,150000.0,1
