DICO,NUTSI_DSG,NUTSI_COD,NUTSII_DSG,NUTSII_COD,NUTSIII_DSG,NUTSIII_COD,DISTRITO_ILHA_DSG,CONCELHO_DSG,nutsi_norm,nutsii_norm,nutsiii_norm,municipality_norm,region_norm,district_norm,MunicipalityCode,location_context,block_key,avg_rent_m2,avg_str_density,population_density,avg_price,count_listings,price_per_listing
203,CONTINENTE,1,ALENTEJO,18,BAIXO ALENTEJO,184,BEJA,ALVITO,continente,alentejo,baixo alentejo,alvito,baixo alentejo,beja,0203,alvito beja,alvi,5.139166666666667,6.633333333333333,8.6,263900.0,20.0,13195.0
204,CONTINENTE,1,ALENTEJO,18,BAIXO ALENTEJO,184,BEJA,BARRANCOS,continente,alentejo,baixo alentejo,barrancos,baixo alentejo,beja,0204,barrancos beja,barr,5.139166666666667,7.6,8.5,111333.33333333333,3.0,37111.11111111111
205,CONTINENTE,1,ALENTEJO,18,BAIXO ALENTEJO,184,BEJA,BEJA,continente,alentejo,baixo alentejo,beja,baixo alentejo,beja,0205,beja beja,beja,5.69,41.29230769230769,29.5,161643.7984496124,129.0,1253.052701159786
206,CONTINENTE,1,ALENTEJO,18,BAIXO ALENTEJO,184,BEJA,CASTRO VERDE,continente,alentejo,baixo alentejo,castro verde,baixo alentejo,beja,0206,castro verde beja,cast,5.0,7.94,12.2,169622.22222222222,18.0,9423.456790123457
207,CONTINENTE,1,ALENTEJO,18,BAIXO ALENTEJO,184,BEJA,CUBA,continente,alentejo,baixo alentejo,cuba,baixo alentejo,beja,0207,cuba beja,cuba,5.139166666666667,16.36,26.0,148692.1739130435,23.0,6464.877126654064
208,CONTINENTE,1,ALENTEJO,18,BAIXO ALENTEJO,184,BEJA,FERREIRA DO ALENTEJO,continente,alentejo,baixo alentejo,ferreira do alentejo,baixo alentejo,beja,0208,ferreira do alentejo beja,ferr,3.91,7.58,12.2,266147.0588235294,34.0,7827.854671280276
209,CONTINENTE,1,ALENTEJO,18,BAIXO ALENTEJO,184,BEJA,MÉRTOLA,continente,alentejo,baixo alentejo,mertola,baixo alentejo,beja,0209,mertola beja,mert,5.139166666666667,8.0625,4.7,124278.57142857143,14.0,8877.040816326531
210,CONTINENTE,1,ALENTEJO,18,BAIXO ALENTEJO,184,BEJA,MOURA,continente,alentejo,baixo alentejo,moura,baixo alentejo,beja,0210,moura beja,mour,4.06,10.516666666666666,13.9,147524.4,125.0,1180.1951999999999
211,CONTINENTE,1,ALENTEJO,18,ALENTEJO LITORAL,181,BEJA,ODEMIRA,continente,alentejo,alentejo litoral,odemira,alentejo litoral,beja,0211,odemira beja,odem,5.12,15.064285714285713,19.3,238773.5368956743,393.0,607.5662516429371
212,CONTINENTE,1,ALENTEJO,18,BAIXO ALENTEJO,184,BEJA,OURIQUE,continente,alentejo,baixo alentejo,ourique,baixo alentejo,beja,0212,ourique beja,ouri,5.139166666666667,6.779999999999999,7.3,222637.78125,64.0,3478.71533203125
