MunicipalityCode,RentValueMean,Municipality,Municipality_norm
1009,8.215,LEIRIA,leiria
1010,4.88,MARINHA GRANDE,marinha grande
1011,6.315,NAZARÉ,nazare
1012,9.365,ÓBIDOS,obidos
1013,7.974999999999999,PEDRÓGÃO GRANDE,pedrogao grande
1014,10.19,PENICHE,peniche
1015,4.77,POMBAL,pombal
1016,4.19,PORTO DE MÓS,porto de mos
1101,7.165,ALENQUER,alenquer
1102,8.196666666666667,ARRUDA DOS VINHOS,arruda dos vinhos
1103,6.74,AZAMBUJA,azambuja
1104,4.56,CADAVAL,cadaval
1105,11.23,CASCAIS,cascais
1106,15.22,LISBOA,lisboa
1107,9.68,LOURES,loures
1108,7.305,LOURINHÃ,lourinha
1109,8.37,MAFRA,mafra
1110,13.0,OEIRAS,oeiras
1111,9.32,SINTRA,sintra
1112,5.22,SOBRAL DE MONTE AGRAÇO,sobral de monte agraco
1113,6.81,TORRES VEDRAS,torres vedras
1114,8.94,VILA FRANCA DE XIRA,vila franca de xira
1115,9.385000000000002,AMADORA,amadora
1116,10.02,ODIVELAS,odivelas
1201,,ALTER DO CHÃO,alter do chao
1202,11.95,ARRONCHES,arronches
1203,10.1,AVIS,avis
1204,2.72,CAMPO MAIOR,campo maior
1205,8.52,CASTELO DE VIDE,castelo de vide
1206,,CRATO,crato
1207,4.11,ELVAS,elvas
1208,,FRONTEIRA,fronteira
1209,8.34,GAVIÃO,gaviao
1210,10.280000000000001,MARVÃO,marvao
1211,10.91,MONFORTE,monforte
1212,,NISA,nisa
1213,4.11,PONTE DE SOR,ponte de sor
1214,3.51,PORTALEGRE,portalegre
1215,,SOUSEL,sousel
1301,3.88,AMARANTE,amarante
1302,2.63,BAIÃO,baiao
1303,3.3,FELGUEIRAS,felgueiras
1304,5.33,GONDOMAR,gondomar
1305,3.65,LOUSADA,lousada
1306,7.69,MAIA,maia
1307,3.71,MARCO DE CANAVESES,marco de canaveses
1308,10.0,MATOSINHOS,matosinhos
1309,4.17,PAÇOS DE FERREIRA,pacos de ferreira
1310,4.75,PAREDES,paredes
1311,4.34,PENAFIEL,penafiel
1312,11.72,PORTO,porto
1313,6.785,PÓVOA DE VARZIM,povoa de varzim
1314,5.01,SANTO TIRSO,santo tirso
1315,7.145,VALONGO,valongo
1316,6.76,VILA DO CONDE,vila do conde
1317,8.51,VILA NOVA DE GAIA,vila nova de gaia
1318,6.0,TROFA,trofa
1401,4.3,ABRANTES,abrantes
1402,3.72,ALCANENA,alcanena
1403,5.27,ALMEIRIM,almeirim
1404,,ALPIARÇA,alpiarca
1405,4.585,BENAVENTE,benavente
1406,5.0,CARTAXO,cartaxo
1407,3.57,CHAMUSCA,chamusca
