MunicipalityCode,Municipality,Municipality_norm,Region,Region_norm
0609,MIRANDA DO CORVO,miranda do corvo,REGIÃO DE COIMBRA,regiao de coimbra
0610,MONTEMOR-O-VELHO,montemor-o-velho,REGIÃO DE COIMBRA,regiao de coimbra
0611,OLIVEIRA DO HOSPITAL,oliveira do hospital,REGIÃO DE COIMBRA,regiao de coimbra
0612,PAMPILHOSA DA SERRA,pampilhosa da serra,REGIÃO DE COIMBRA,regiao de coimbra
0613,PENACOVA,penacova,REGIÃO DE COIMBRA,regiao de coimbra
0614,PENELA,penela,REGIÃO DE COIMBRA,regiao de coimbra
0615,SOURE,soure,REGIÃO DE COIMBRA,regiao de coimbra
0616,TÁBUA,tabua,REGIÃO DE COIMBRA,regiao de coimbra
0617,VILA NOVA DE POIARES,vila nova de poiares,REGIÃO DE COIMBRA,regiao de coimbra
0701,ALANDROAL,alandroal,ALENTEJO CENTRAL,alentejo central
0702,ARRAIOLOS,arraiolos,ALENTEJO CENTRAL,alentejo central
0703,BORBA,borba,ALENTEJO CENTRAL,alentejo central
0704,ESTREMOZ,estremoz,ALENTEJO CENTRAL,alentejo central
0705,ÉVORA,evora,ALENTEJO CENTRAL,alentejo central
0706,MONTEMOR-O-NOVO,montemor-o-novo,ALENTEJO CENTRAL,alentejo central
0707,MORA,mora,ALENTEJO CENTRAL,alentejo central
0708,MOURÃO,mourao,ALENTEJO CENTRAL,alentejo central
0709,PORTEL,portel,ALENTEJO CENTRAL,alentejo central
0710,REDONDO,redondo,ALENTEJO CENTRAL,alentejo central
0711,REGUENGOS DE MONSARAZ,reguengos de monsaraz,ALENTEJO CENTRAL,alentejo central
0712,VENDAS NOVAS,vendas novas,ALENTEJO CENTRAL,alentejo central
0713,VIANA DO ALENTEJO,viana do alentejo,ALENTEJO CENTRAL,alentejo central
0714,VILA VIÇOSA,vila vicosa,ALENTEJO CENTRAL,alentejo central
0801,ALBUFEIRA,albufeira,ALGARVE,algarve
0802,ALCOUTIM,alcoutim,ALGARVE,algarve
0803,ALJEZUR,aljezur,ALGARVE,algarve
0804,CASTRO MARIM,castro marim,ALGARVE,algarve
0805,FARO,faro,ALGARVE,algarve
0806,LAGOA,lagoa,ALGARVE,algarve
0807,LAGOS,lagos,ALGARVE,algarve
0808,LOULÉ,loule,ALGARVE,algarve
0809,MONCHIQUE,monchique,ALGARVE,algarve
0810,OLHÃO,olhao,ALGARVE,algarve
0811,PORTIMÃO,portimao,ALGARVE,algarve
0812,SÃO BRÁS DE ALPORTEL,sao bras de alportel,ALGARVE,algarve
0813,SILVES,silves,ALGARVE,algarve
0814,TAVIRA,tavira,ALGARVE,algarve
0815,VILA DO BISPO,vila do bispo,ALGARVE,algarve
0816,VILA REAL DE SANTO ANTÓNIO,vila real de santo antonio,ALGARVE,algarve
0901,AGUIAR DA BEIRA,aguiar da beira,VISEU DÃO LAFÕES,viseu dao lafoes
0902,ALMEIDA,almeida,BEIRAS E SERRA DA ESTRELA,beiras e serra da estrela
0903,CELORICO DA BEIRA,celorico da beira,BEIRAS E SERRA DA ESTRELA,beiras e serra da estrela
0904,FIGUEIRA DE CASTELO RODRIGO,figueira de castelo rodrigo,BEIRAS E SERRA DA ESTRELA,beiras e serra da estrela
0905,FORNOS DE ALGODRES,fornos de algodres,BEIRAS E SERRA DA ESTRELA,beiras e serra da estrela
0906,GOUVEIA,gouveia,BEIRAS E SERRA DA ESTRELA,beiras e serra da estrela
0907,GUARDA,guarda,BEIRAS E SERRA DA ESTRELA,beiras e serra da estrela
0908,MANTEIGAS,manteigas,BEIRAS E SERRA DA ESTRELA,beiras e serra da estrela
0909,MÊDA,meda,BEIRAS E SERRA DA ESTRELA,beiras e serra da estrela
0910,PINHEL,pinhel,BEIRAS E SERRA DA ESTRELA,beiras e serra da estrela
0911,SABUGAL,sabugal,BEIRAS E SERRA DA ESTRELA,beiras e serra da estrela
0912,SEIA,seia,BEIRAS E SERRA DA ESTRELA,beiras e serra da estrela
0913,TRANCOSO,trancoso,BEIRAS E SERRA DA ESTRELA,beiras e serra da estrela
0914,VILA NOVA DE FOZ CÔA,vila nova de foz coa,DOURO,douro
1001,ALCOBAÇA,alcobaca,OESTE,oeste
1002,ALVAIÁZERE,alvaiazere,REGIÃO DE LEIRIA,regiao de leiria
1003,ANSIÃO,ansiao,REGIÃO DE LEIRIA,regiao de leiria
1004,BATALHA,batalha,REGIÃO DE LEIRIA,regiao de leiria
1005,BOMBARRAL,bombarral,OESTE,oeste
1006,CALDAS DA RAINHA,caldas da rainha,OESTE,oeste
1007,CASTANHEIRA DE PÊRA,castanheira de pera,REGIÃO DE LEIRIA,regiao de leiria
1008,FIGUEIRÓ DOS VINHOS,figueiro dos vinhos,REGIÃO DE LEIRIA,regiao de leiria
1009,LEIRIA,leiria,REGIÃO DE LEIRIA,regiao de leiria
1010,MARINHA GRANDE,marinha grande,REGIÃO DE LEIRIA,regiao de leiria
1011,NAZARÉ,nazare,OESTE,oeste
1012,ÓBIDOS,obidos,OESTE,oeste
1013,PEDRÓGÃO GRANDE,pedrogao grande,REGIÃO DE LEIRIA,regiao de leiria
1014,PENICHE,peniche,OESTE,oeste
1015,POMBAL,pombal,REGIÃO DE LEIRIA,regiao de leiria
1016,PORTO DE MÓS,porto de mos,REGIÃO DE LEIRIA,regiao de leiria
1101,ALENQUER,alenquer,OESTE,oeste
1102,ARRUDA DOS VINHOS,arruda dos vinhos,OESTE,oeste
1103,AZAMBUJA,azambuja,LEZÍRIA DO TEJO,leziria do tejo
1104,CADAVAL,cadaval,OESTE,oeste
1105,CASCAIS,cascais,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1106,LISBOA,lisboa,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1107,LOURES,loures,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1108,LOURINHÃ,lourinha,OESTE,oeste
1109,MAFRA,mafra,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1110,OEIRAS,oeiras,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1111,SINTRA,sintra,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1112,SOBRAL DE MONTE AGRAÇO,sobral de monte agraco,OESTE,oeste
1113,TORRES VEDRAS,torres vedras,OESTE,oeste
1114,VILA FRANCA DE XIRA,vila franca de xira,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1115,AMADORA,amadora,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1116,ODIVELAS,odivelas,ÁREA METROPOLITANA DE LISBOA,area metropolitana de lisboa
1201,ALTER DO CHÃO,alter do chao,ALTO ALENTEJO,alto alentejo
1202,ARRONCHES,arronches,ALTO ALENTEJO,alto alentejo
1203,AVIS,avis,ALTO ALENTEJO,alto alentejo
1204,CAMPO MAIOR,campo maior,ALTO ALENTEJO,alto alentejo
1205,CASTELO DE VIDE,castelo de vide,ALTO ALENTEJO,alto alentejo
1206,CRATO,crato,ALTO ALENTEJO,alto alentejo
1207,ELVAS,elvas,ALTO ALENTEJO,alto alentejo
1208,FRONTEIRA,fronteira,ALTO ALENTEJO,alto alentejo
1209,GAVIÃO,gaviao,ALTO ALENTEJO,alto alentejo
1210,MARVÃO,marvao,ALTO ALENTEJO,alto alentejo
1211,MONFORTE,monforte,ALTO ALENTEJO,alto alentejo
1212,NISA,nisa,ALTO ALENTEJO,alto alentejo
1213,PONTE DE SOR,ponte de sor,ALTO ALENTEJO,alto alentejo
1214,PORTALEGRE,portalegre,ALTO ALENTEJO,alto alentejo
1215,SOUSEL,sousel,ALTO ALENTEJO,alto alentejo
1301,AMARANTE,amarante,TÂMEGA E SOUSA,tamega e sousa
1302,BAIÃO,baiao,TÂMEGA E SOUSA,tamega e sousa
1303,FELGUEIRAS,felgueiras,TÂMEGA E SOUSA,tamega e sousa
1304,GONDOMAR,gondomar,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
1305,LOUSADA,lousada,TÂMEGA E SOUSA,tamega e sousa
1306,MAIA,maia,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
1307,MARCO DE CANAVESES,marco de canaveses,TÂMEGA E SOUSA,tamega e sousa
1308,MATOSINHOS,matosinhos,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
1309,PAÇOS DE FERREIRA,pacos de ferreira,TÂMEGA E SOUSA,tamega e sousa
1310,PAREDES,paredes,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
1311,PENAFIEL,penafiel,TÂMEGA E SOUSA,tamega e sousa
1312,PORTO,porto,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
1313,PÓVOA DE VARZIM,povoa de varzim,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
1314,SANTO TIRSO,santo tirso,ÁREA METROPOLITANA DO PORTO,area metropolitana do porto
