MunicipalityCode,Municipality,Municipality_norm,DensityAlojMean
0909,MÊDA,meda,17.308333333333334
0910,PINHEL,pinhel,17.236842105263158
0911,SABUGAL,sabugal,20.17096774193548
0912,SEIA,seia,42.00454545454546
0913,TRANCOSO,trancoso,23.94090909090909
0914,VILA NOVA DE FOZ CÔA,vila nova de foz coa,16.74
1001,ALCOBAÇA,alcobaca,120.04285714285713
1002,ALVAIÁZERE,alvaiazere,35.85
1003,ANSIÃO,ansiao,59.92857142857143
1004,BATALHA,batalha,95.6
1005,BOMBARRAL,bombarral,86.66
1006,CALDAS DA RAINHA,caldas da rainha,115.5923076923077
1007,CASTANHEIRA DE PÊRA,castanheira de pera,40.3
1008,FIGUEIRÓ DOS VINHOS,figueiro dos vinhos,27.419999999999998
1009,LEIRIA,leiria,118.22631578947369
1010,MARINHA GRANDE,marinha grande,103.6
1011,NAZARÉ,nazare,142.125
1012,ÓBIDOS,obidos,69.5375
1013,PEDRÓGÃO GRANDE,pedrogao grande,28.0
1014,PENICHE,peniche,399.17999999999995
1015,POMBAL,pombal,54.714285714285715
1016,PORTO DE MÓS,porto de mos,63.709090909090904
1101,ALENQUER,alenquer,82.47500000000001
1102,ARRUDA DOS VINHOS,arruda dos vinhos,77.47999999999999
1103,AZAMBUJA,azambuja,51.2375
1104,CADAVAL,cadaval,54.6375
1105,CASCAIS,cascais,1475.04
1106,LISBOA,lisboa,3953.6079999999997
1107,LOURES,loures,1406.6272727272728
1108,LOURINHÃ,lourinha,120.78888888888888
1109,MAFRA,mafra,192.9416666666667
1110,OEIRAS,oeiras,1883.8666666666668
1111,SINTRA,sintra,1908.0083333333332
1112,SOBRAL DE MONTE AGRAÇO,sobral de monte agraco,123.45
1113,TORRES VEDRAS,torres vedras,109.70714285714287
1114,VILA FRANCA DE XIRA,vila franca de xira,550.5857142857143
1115,AMADORA,amadora,4250.057142857143
1116,ODIVELAS,odivelas,3142.1400000000003
1201,ALTER DO CHÃO,alter do chao,8.24
1202,ARRONCHES,arronches,8.825
1203,AVIS,avis,6.6000000000000005
1204,CAMPO MAIOR,campo maior,19.325
1205,CASTELO DE VIDE,castelo de vide,11.440000000000001
1206,CRATO,crato,9.32
1207,ELVAS,elvas,20.975
1208,FRONTEIRA,fronteira,10.05
1209,GAVIÃO,gaviao,12.1
1210,MARVÃO,marvao,19.48
1211,MONFORTE,monforte,6.56
1212,NISA,nisa,16.275
1213,PONTE DE SOR,ponte de sor,12.5
1214,PORTALEGRE,portalegre,62.925
1215,SOUSEL,sousel,13.38
1301,AMARANTE,amarante,113.51111111111112
1302,BAIÃO,baiao,72.11999999999999
1303,FELGUEIRAS,felgueiras,190.1904761904762
1304,GONDOMAR,gondomar,774.525
1305,LOUSADA,lousada,222.0
1306,MAIA,maia,819.0363636363636
1307,MARCO DE CANAVESES,marco de canaveses,132.61764705882354
