MunicipalityCode,Municipality,Region
0906,GOUVEIA,BEIRAS E SERRA DA ESTRELA
0907,GUARDA,BEIRAS E SERRA DA ESTRELA
0908,MANTEIGAS,BEIRAS E SERRA DA ESTRELA
0909,MÊDA,BEIRAS E SERRA DA ESTRELA
0910,PINHEL,BEIRAS E SERRA DA ESTRELA
0911,SABUGAL,BEIRAS E SERRA DA ESTRELA
0912,SEIA,BEIRAS E SERRA DA ESTRELA
0913,TRANCOSO,BEIRAS E SERRA DA ESTRELA
0914,VILA NOVA DE FOZ CÔA,DOURO
1001,ALCOBAÇA,OESTE
1002,ALVAIÁZERE,REGIÃO DE LEIRIA
1003,ANSIÃO,REGIÃO DE LEIRIA
1004,BATALHA,REGIÃO DE LEIRIA
1005,BOMBARRAL,OESTE
1006,CALDAS DA RAINHA,OESTE
1007,CASTANHEIRA DE PÊRA,REGIÃO DE LEIRIA
1008,FIGUEIRÓ DOS VINHOS,REGIÃO DE LEIRIA
1009,LEIRIA,REGIÃO DE LEIRIA
1010,MARINHA GRANDE,REGIÃO DE LEIRIA
1011,NAZARÉ,OESTE
1012,ÓBIDOS,OESTE
1013,PEDRÓGÃO GRANDE,REGIÃO DE LEIRIA
1014,PENICHE,OESTE
1015,POMBAL,REGIÃO DE LEIRIA
1016,PORTO DE MÓS,REGIÃO DE LEIRIA
1101,ALENQUER,OESTE
1102,ARRUDA DOS VINHOS,OESTE
1103,AZAMBUJA,LEZÍRIA DO TEJO
1104,CADAVAL,OESTE
1105,CASCAIS,ÁREA METROPOLITANA DE LISBOA
1106,LISBOA,ÁREA METROPOLITANA DE LISBOA
1107,LOURES,ÁREA METROPOLITANA DE LISBOA
1108,LOURINHÃ,OESTE
1109,MAFRA,ÁREA METROPOLITANA DE LISBOA
1110,OEIRAS,ÁREA METROPOLITANA DE LISBOA
1111,SINTRA,ÁREA METROPOLITANA DE LISBOA
1112,SOBRAL DE MONTE AGRAÇO,OESTE
1113,TORRES VEDRAS,OESTE
1114,VILA FRANCA DE XIRA,ÁREA METROPOLITANA DE LISBOA
1115,AMADORA,ÁREA METROPOLITANA DE LISBOA
1116,ODIVELAS,ÁREA METROPOLITANA DE LISBOA
1201,ALTER DO CHÃO,ALTO ALENTEJO
1202,ARRONCHES,ALTO ALENTEJO
1203,AVIS,ALTO ALENTEJO
1204,CAMPO MAIOR,ALTO ALENTEJO
1205,CASTELO DE VIDE,ALTO ALENTEJO
1206,CRATO,ALTO ALENTEJO
1207,ELVAS,ALTO ALENTEJO
1208,FRONTEIRA,ALTO ALENTEJO
1209,GAVIÃO,ALTO ALENTEJO
1210,MARVÃO,ALTO ALENTEJO
1211,MONFORTE,ALTO ALENTEJO
1212,NISA,ALTO ALENTEJO
1213,PONTE DE SOR,ALTO ALENTEJO
1214,PORTALEGRE,ALTO ALENTEJO
1215,SOUSEL,ALTO ALENTEJO
1301,AMARANTE,TÂMEGA E SOUSA
1302,BAIÃO,TÂMEGA E SOUSA
1303,FELGUEIRAS,TÂMEGA E SOUSA
1304,GONDOMAR,ÁREA METROPOLITANA DO PORTO
1305,LOUSADA,TÂMEGA E SOUSA
1306,MAIA,ÁREA METROPOLITANA DO PORTO
1307,MARCO DE CANAVESES,TÂMEGA E SOUSA
1308,MATOSINHOS,ÁREA METROPOLITANA DO PORTO
1309,PAÇOS DE FERREIRA,TÂMEGA E SOUSA
1310,PAREDES,ÁREA METROPOLITANA DO PORTO
1311,PENAFIEL,TÂMEGA E SOUSA
1312,PORTO,ÁREA METROPOLITANA DO PORTO
1313,PÓVOA DE VARZIM,ÁREA METROPOLITANA DO PORTO
1314,SANTO TIRSO,ÁREA METROPOLITANA DO PORTO
1315,VALONGO,ÁREA METROPOLITANA DO PORTO
1316,VILA DO CONDE,ÁREA METROPOLITANA DO PORTO
1317,VILA NOVA DE GAIA,ÁREA METROPOLITANA DO PORTO
1318,TROFA,ÁREA METROPOLITANA DO PORTO
1401,ABRANTES,MÉDIO TEJO
1402,ALCANENA,MÉDIO TEJO
1403,ALMEIRIM,LEZÍRIA DO TEJO
1404,ALPIARÇA,LEZÍRIA DO TEJO
1405,BENAVENTE,LEZÍRIA DO TEJO
1406,CARTAXO,LEZÍRIA DO TEJO
1407,CHAMUSCA,LEZÍRIA DO TEJO
1408,CONSTÂNCIA,MÉDIO TEJO
1409,CORUCHE,LEZÍRIA DO TEJO
1410,ENTRONCAMENTO,MÉDIO TEJO
1411,FERREIRA DO ZÊZERE,MÉDIO TEJO
1412,GOLEGÃ,LEZÍRIA DO TEJO
1413,MAÇÃO,MÉDIO TEJO
1414,RIO MAIOR,LEZÍRIA DO TEJO
1415,SALVATERRA DE MAGOS,LEZÍRIA DO TEJO
1416,SANTARÉM,LEZÍRIA DO TEJO
1417,SARDOAL,MÉDIO TEJO
1418,TOMAR,MÉDIO TEJO
1419,TORRES NOVAS,MÉDIO TEJO
1420,VILA NOVA DA BARQUINHA,MÉDIO TEJO
1421,OURÉM,MÉDIO TEJO
1501,ALCÁCER DO SAL,ALENTEJO LITORAL
1502,ALCOCHETE,ÁREA METROPOLITANA DE LISBOA
1503,ALMADA,ÁREA METROPOLITANA DE LISBOA
1504,BARREIRO,ÁREA METROPOLITANA DE LISBOA
1505,GRÂNDOLA,ALENTEJO LITORAL
1506,MOITA,ÁREA METROPOLITANA DE LISBOA
